tag,intro,description,syntax
RANDBETWEEN,"	    This article describes the formula syntax and usage of the RANDBETWEEN?function in Microsoft Excel.  ",Description    Returns a random integer number between the numbers you specify. A new random integer number is returned every time the worksheet is calculated.  ,"Syntax    RANDBETWEEN(bottom, top)    The RANDBETWEEN function syntax has the following arguments:                      Bottom????Required. The smallest integer RANDBETWEEN will return.                              Top????Required. The largest integer RANDBETWEEN will return.          "
SMALL,This article describes the formula syntax and usage of the SMALL?function in Microsoft Excel.  ,Description    Returns the k-th smallest value in a data set. Use this function to return values with a particular relative standing in a data set.  ,"Syntax    SMALL(array, k)    The SMALL function syntax has the following arguments:                      Array????Required. An array or range of numerical data for which you want to determine the k-th smallest value.                              K????Required. The position (from the smallest) in the array or range of data to return.          "
PERCENTILE,"Returns the k-th percentile of values in a range. You can use this function to establish a threshold of acceptance. For example, you can decide to examine candidates who score above the 90th percentile.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new functions, see PERCENTILE.EXC function and PERCENTILE.INC function.  ","Syntax    PERCENTILE(array,k)    The PERCENTILE function syntax has the following arguments:                      Array???? Required. The array or range of data that defines relative standing.                              K???? Required. The percentile value in the range 0..1, inclusive.          ","Remarks            If k is nonnumeric, PERCENTILE returns the #VALUE! error value.                    If k is < 0 or if k > 1, PERCENTILE returns the #NUM! error value.                    If k is not a multiple of 1/(n - 1), PERCENTILE interpolates to determine the value at the k-th percentile.          "
LARGE,This article describes the formula syntax and usage of the LARGE?function in Microsoft Excel.  ,"Description    Returns the k-th largest value in a data set. You can use this function to select a value based on its relative standing. For example, you can use LARGE to return the highest, runner-up, or third-place score.  ","Syntax    LARGE(array, k)    The LARGE function syntax has the following arguments:                      Array????Required. The array or range of data for which you want to determine the k-th largest value.                              K????Required. The position (from the largest) in the array or cell range of data to return.          "
TODAY,This article describes the formula syntax and usage of the TODAY?functionin Microsoft Excel.  ,"Description    Returns the serial number of the current date. The serial number is the date-time code used by Excel for date and time calculations. If the cell format was General before the function was entered, Excel changes the cell format to Date. If you want to view the serial number, you must change the cell format to General or Number.    The TODAY function is useful when you need to have the current date displayed on a worksheet, regardless of when you open the workbook. It is also useful for calculating intervals. For example, if you know that someone was born in 1963, you might use the following formula to find that person's age as of this year's birthday:          =      YEAR(      TODAY())-1963        This formula uses the TODAY function as an argument for the YEAR function to obtain the current year, and then subtracts 1963, returning the person's age.                  Note:?If the TODAY function does not update the date when you expect it to, you might need to change the settings that control when the workbook or worksheet recalculates. On the File tab, click Options, and then in the Formulas category under Calculation options, make sure that Automatic is selected.      ","Syntax    TODAY()    The TODAY function syntax has no arguments.                  Note:?Excel stores dates as sequential serial numbers so they can be used in calculations. By default, January 1, 1900 is serial number 1, and January 1, 2008 is serial number 39448 because it is 39,447 days after January 1, 1900.      "
YEAR,This article describes the formula syntax and usage of the YEAR?function in Microsoft Excel.  ,Description    Returns the year corresponding to a date. The year is returned as an integer in the range 1900-9999.  ,"Syntax    YEAR(serial_number)    The YEAR function syntax has the following arguments:                      Serial_number????Required. The date of the year you want to find. Dates should be entered by using the DATE function, or as results of other formulas or functions. For example, use DATE(2008,5,23) for the 23rd day of May, 2008. Problems can occur if dates are entered as text.          "
MONTH,This article describes the formula syntax and usage of the MONTH?function in Microsoft Excel.  ,"Description    Returns the month of a date represented by a serial number. The month is given as an integer, ranging from 1 (January) to 12 (December).  ","Syntax    MONTH(serial_number)    The MONTH function syntax has the following arguments:                      Serial_number????Required. The date of the month you are trying to find. Dates should be entered by using the DATE function, or as results of other formulas or functions. For example, use DATE(2008,5,23) for the 23rd day of May, 2008. Problems can occur if dates are entered as text.          "
NOW,This article describes the formula syntax and usage of the NOW?function in Microsoft Excel. Find links to more information about working with dates and times in the See Also section.  ,"Description    Returns the serial number of the current date and time. If the cell format was General before the function was entered, Excel changes the cell format so that it matches the date and time format of your regional settings. You can change the date and time format for the cell by using the commands in the Number group of the Home tab on the Ribbon.    The NOW function is useful when you need to display the current date and time on a worksheet or calculate a value based on the current date and time, and have that value updated each time you open the worksheet.                  Note:?If the NOW function does not update cell values when you expect it to, you might need to change settings that control when the workbook or worksheet recalculates. These settings can be changed in Control Panel for the Excel desktop application.      ",Syntax    NOW()    The NOW function syntax has no arguments.  
TIME,This article describes the formula syntax and usage of the TIME?function in Microsoft Excel.  ,"Description    Returns the decimal number for a particular time. If the cell format was General before the function was entered, the result is formatted as a date.    The decimal number returned by TIME is a value ranging from 0 (zero) to 0.99988426, representing the times from 0:00:00 (12:00:00 AM) to 23:59:59 (11:59:59 P.M.).  ","Syntax    TIME(hour, minute, second)    The TIME function syntax has the following arguments:                      Hour????Required. A number from 0 (zero) to 32767 representing the hour. Any value greater than 23 will be divided by 24 and the remainder will be treated as the hour value. For example, TIME(27,0,0) = TIME(3,0,0) = .125 or 3:00 AM.                              Minute????Required. A number from 0 to 32767 representing the minute. Any value greater than 59 will be converted to hours and minutes. For example, TIME(0,750,0) = TIME(12,30,0) = .520833 or 12:30 PM.                              Second????Required. A number from 0 to 32767 representing the second. Any value greater than 59 will be converted to hours, minutes, and seconds. For example, TIME(0,0,2000) = TIME(0,33,22) = .023148 or 12:33:20 AM          "
HOUR,"	    This article describes the formula syntax and usage of the HOUR?function in Microsoft Excel.  ","Description    Returns the hour of a time value. The hour is given as an integer, ranging from 0 (12:00 A.M.) to 23 (11:00 P.M.).  ","Syntax    HOUR(serial_number)    The HOUR function syntax has the following arguments:                      Serial_number????Required. The time that contains the hour you want to find. Times may be entered as text strings within quotation marks (for example, ""6:45 PM""), as decimal numbers (for example, 0.78125, which represents 6:45 PM), or as results of other formulas or functions (for example, TIMEVALUE(""6:45 PM"")).          "
MINUTE,This article describes the formula syntax and usage of the MINUTE?function in Microsoft Excel.  ,"Description    Returns the minutes of a time value. The minute is given as an integer, ranging from 0 to 59.  ","Syntax    MINUTE(serial_number)    The MINUTE function syntax has the following arguments:                      Serial_number????Required. The time that contains the minute you want to find. Times may be entered as text strings within quotation marks (for example, ""6:45 PM""), as decimal numbers (for example, 0.78125, which represents 6:45 PM), or as results of other formulas or functions (for example, TIMEVALUE(""6:45 PM"")).          "
SECOND,This article describes the formula syntax and usage of the SECOND?function in Microsoft Excel.  ,Description    Returns the seconds of a time value. The second is given as an integer in the range 0 (zero) to 59.  ,"Syntax    SECOND(serial_number)    The SECOND function syntax has the following arguments:                      Serial_number????Required. The time that contains the seconds you want to find. Times may be entered as text strings within quotation marks (for example, ""6:45 PM""), as decimal numbers (for example, 0.78125, which represents 6:45 PM), or as results of other formulas or functions (for example, TIMEVALUE(""6:45 PM"")).          "
LN,This article describes the formula syntax and usage of the LN?function in Microsoft Excel.  ,Description    Returns the natural logarithm of a number. Natural logarithms are based on the constant e (2.71828182845904).  ,Syntax    LN(number)    The LN function syntax has the following arguments:                      Number????Required. The positive real number for which you want the natural logarithm.          
EXP,This article describes the formula syntax and usage of the EXP?function in Microsoft Excel.  ,"Description    Returns e raised to the power of number. The constant e equals 2.71828182845904, the base of the natural logarithm.  ",Syntax    EXP(number)    The EXP function syntax has the following arguments:                      Number????Required. The exponent applied to the base e.          
NORMDIST,"Returns the normal distribution for the specified mean and standard deviation. This function has a very wide range of applications in statistics, including hypothesis testing.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see NORM.DIST function.  ",,"Syntax    NORMDIST(x,mean,standard_dev,cumulative)    The NORMDIST function syntax has the following arguments:                      X???? Required. The value for which you want the distribution.                              Mean???? Required. The arithmetic mean of the distribution.                              Standard_dev???? Required. The standard deviation of the distribution.                              Cumulative???? Required. A logical value that determines the form of the function. If cumulative is TRUE, NORMDIST returns the cumulative distribution function; if FALSE, it returns the probability mass function.          "
NORMSDIST,"Returns the standard normal cumulative distribution function. The distribution has a mean of 0 (zero) and a standard deviation of one. Use this function in place of a table of standard normal curve areas.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see NORM.S.DIST function.  ",,Syntax    NORMSDIST(z)    The NORMSDIST function syntax has the following argument:                      Z???? Required. The value for which you want the distribution.          
CRITBINOM,"Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value. Use this function for quality assurance applications. For example, use CRITBINOM to determine the greatest number of defective parts that are allowed to come off an assembly line run without rejecting the entire lot.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see BINOM.INV function.  ",,"Syntax    CRITBINOM(trials,probability_s,alpha)    The CRITBINOM function syntax has the following arguments:                      Trials???? Required. The number of Bernoulli trials.                              Probability_s???? Required. The probability of a success on each trial.                              Alpha???? Required. The criterion value.          "
NORMINV,"Returns the inverse of the normal cumulative distribution for the specified mean and standard deviation.                  Note:? This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see NORM.INV function.  ",,"Syntax    NORMINV(probability,mean,standard_dev)    The NORMINV function syntax has the following arguments:                      Probability???? Required. A probability corresponding to the normal distribution.                              Mean???? Required. The arithmetic mean of the distribution.                              Standard_dev???? Required. The standard deviation of the distribution.          "
BINOMDIST,"Returns the individual term binomial distribution probability. Use BINOMDIST in problems with a fixed number of tests or trials, when the outcomes of any trial are only success or failure, when trials are independent, and when the probability of success is constant throughout the experiment. For example, BINOMDIST can calculate the probability that two of the next three babies born are male.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see BINOM.DIST function.  ",,"Syntax    BINOMDIST(number_s,trials,probability_s,cumulative)    The BINOMDIST function syntax has the following arguments:                      Number_s???? Required. The number of successes in trials.                              Trials???? Required. The number of independent trials.                              Probability_s???? Required. The probability of success on each trial.                              Cumulative???? Required. A logical value that determines the form of the function. If cumulative is TRUE, then BINOMDIST returns the cumulative distribution function, which is the probability that there are at most number_s successes; if FALSE, it returns the probability mass function, which is the probability that there are number_s successes.          "
NORMSINV,"Returns the inverse of the standard normal cumulative distribution. The distribution has a mean of zero and a standard deviation of one.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see NORM.S.INV function.  ",,Syntax    NORMSINV(probability)    The NORMSINV function syntax has the following argument:                      Probability???? Required. A probability corresponding to the normal distribution.          
BETAINV,"Returns the inverse of the cumulative beta probability density function for a specified beta distribution. That is, if probability = BETADIST(x,...), then BETAINV(probability,...) = x. The beta distribution can be used in project planning to model probable completion times given an expected completion time and variability.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see BETA.INV function.  ",,"Syntax    BETAINV(probability,alpha,beta,[A],[B])    The BETAINV function syntax has the following arguments:                      Probability???? Required. A probability associated with the beta distribution.                              Alpha???? Required. A parameter of the distribution.                              Beta???? Required. A parameter the distribution.                              A???? Optional. A lower bound to the interval of x.                              B???? Optional. An upper bound to the interval of x.          "
POISSON,"Returns the Poisson distribution. A common application of the Poisson distribution is predicting the number of events over a specific time, such as the number of cars arriving at a toll plaza in 1 minute.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see POISSON.DIST function.  ",,"Syntax    POISSON(x,mean,cumulative)    The POISSON function syntax has the following arguments:                      X???? Required. The number of events.                              Mean???? Required. The expected numeric value.                              Cumulative???? Required. A logical value that determines the form of the probability distribution returned. If cumulative is TRUE, POISSON returns the cumulative Poisson probability that the number of random events occurring will be between zero and x inclusive; if FALSE, it returns the Poisson probability mass function that the number of events occurring will be exactly x.          "
LOGINV,This article describes the formula syntax and usage of the LOGINV?function in Microsoft Excel.  ,"Description    Returns the inverse of the lognormal cumulative distribution function of x, where ln(x) is normally distributed with parameters mean and standard_dev. If p = LOGNORMDIST(x,...) then LOGINV(p,...) = x.    Use the lognormal distribution to analyze logarithmically transformed data.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        	    For more information about the new function, see LOGNORM.INV function.  "," Syntax    LOGINV(probability, mean, standard_dev)    The LOGINV function syntax has the following arguments:                      Probability????Required. A probability associated with the lognormal distribution.                              Mean????Required. The mean of ln(x).                              Standard_dev????Required. The standard deviation of ln(x).          "
EXPONDIST,"	    This article describes the formula syntax and usage of the EXPONDIST?function in Microsoft Excel.    Returns the exponential distribution. Use EXPONDIST to model the time between events, such as how long an automated bank teller takes to deliver cash. For example, you can use EXPONDIST to determine the probability that the process takes at most 1 minute.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see EXPON.DIST function.  ",,"Syntax    EXPONDIST(x,lambda,cumulative)    The EXPONDIST function syntax has the following arguments:                      X???? Required. The value of the function.                              Lambda???? Required. The parameter value.                              Cumulative???? Required. A logical value that indicates which form of the exponential function to provide. If cumulative is TRUE, EXPONDIST returns the cumulative distribution function; if FALSE, it returns the probability density function.          "
FREQUENCY,This article describes the formula syntax and usage of the FREQUENCY?function in Microsoft Excel.  ,"Description    Calculates how often values occur within a range of values, and then returns a vertical array of numbers. For example, use FREQUENCY to count the number of test scores that fall within ranges of scores. Because FREQUENCY returns an array, it must be entered as an array formula.  ","Syntax    FREQUENCY(data_array, bins_array)    The FREQUENCY function syntax has the following arguments:                      Data_array????Required. An array of or reference to a set of values for which you want to count frequencies. If data_array contains no values, FREQUENCY returns an array of zeros.                              Bins_array????Required. An array of or reference to intervals into which you want to group the values in data_array. If bins_array contains no values, FREQUENCY returns the number of elements in data_array.          "
BINOM.INV,Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value.  ,,"Syntax    BINOM.INV(trials,probability_s,alpha)    The BINOM.INV function syntax has the following arguments:                      Trials???? Required. The number of Bernoulli trials.                              Probability_s???? Required. The probability of a success on each trial.                              Alpha???? Required. The criterion value.          "
SQRT,This article describes the formula syntax and usage of the SQRT?function in Microsoft Excel.  ,Description    Returns a positive square root.  ,Syntax    SQRT(number)    The SQRT function syntax has the following arguments:                      Number????Required. The number for which you want the square root.          
GAMMAINV,"	    This article describes the formula syntax and usage of the GAMMAINV?function in Microsoft Excel.    Returns the inverse of the gamma cumulative distribution. If p = GAMMADIST(x,...), then GAMMAINV(p,...) = x. You can use this function to study a variable whose distribution may be skewed.                  Important:?This function has been replaced with one or more new functions that may provide improved accuracy and whose names better reflect their usage. Although this function is still available for backward compatibility, you should consider using the new functions from now on, because this function may not be available in future versions of Excel.        For more information about the new function, see GAMMA.INV function.  ",,"Syntax    GAMMAINV(probability,alpha,beta)    The GAMMAINV function syntax has the following arguments:                      Probability???? Required. The probability associated with the gamma distribution.                              Alpha???? Required. A parameter to the distribution.                              Beta???? Required. A parameter to the distribution. If beta = 1, GAMMAINV returns the standard gamma distribution.          "
FILL,"Done by dragging selected cells with formulas over new cells, which will automatically be filled with the same formulas, with the required changes. By dragging horizontally, column letters will be updated accordingly, and by dragging vertically, row numbers will be updated accordingly.",,
AUTO-FILL,"Done by selecting at least 2 adjacent cells and dragging over new cells, which will be filled with values by extrapolation automatically. Basic principle is fitting points with straight line using least-squared method. New cell values are predicted using extrapolation.
",,
Custom Sort,"Sorting data is an integral part of data analysis. You might want to arrange a list of names in alphabetical order, compile a list of product inventory levels from highest to lowest, or order rows by colors or icons. Sorting data helps you quickly visualize and understand your data better, organize and find the data that you want, and ultimately make more effective decisions. You can sort data by text (A to Z or Z to A), numbers (smallest to largest or largest to smallest), and dates and times (oldest to newest and newest to oldest) in one or more columns. You can also sort by a custom list you create (such as Large, Medium, and Small) or by format, including cell color, font color, or icon set.",,
Alex Processing,"Known : Past 10 years demand, Past 10 years equipment holding, Predicted next 10 years demand. Need to find out : Next 10 years equipment holding plan, Acquisition plan is obtained based on holding plan and lead time. Wrong : Use Excel??s AutoFill Function to predict next 10 years equipment holding plan by dragging down past 10 years equipment holding data, because there is no relationship with demand!! Correct: Compute the past productivity rate (= demand / # of equipment), Predict new productivity rate based on productivity trend - but is this increasing trend reliable? Compute future equipment holding (= new demand / new productivity)",,
Achilles and Tortoise,"As the race proceed,
whenever Achilles catches
up with the Tortoise
previous position, the
Tortoise would have
moved half the distance
previously separating
them. In this way, it
seems that Achilles will
never be able to overtake
the Tortoise. Is this true?
",,
F1 Night City Race,Part (1) Modeling using influence diagram and black-box models Building Excel model Finding the optimal price and break-even price ?C using Goal Seek and Solver Part (2) Adding price-demand relationship Add trendline ?C get equation of price-demand relationship Curve plotting Part (3) Trade-off analysis ?C optimal price setting Sensitivity analysis ?C Data Table,,
Sensitivity analysis,"Sensitivity analysis ?C is used when uncontrollable parameter values (e.g. slope of room rate vs occupancy curve) are changed to examine how ""ensitive"" performance measures (e.g. profit) are to the parameter changes?C",,
Trade-off analysis,"Trade-off analysis ?C is used when decision variable values (e.g. room rate) are changed to examine how performance measures (e.g. profit) ""radeoff"" against each other. Optimal price setting Break-even pricec",,
R-squared,Coefficient of Determination Explains how well the data points are described by the line Takes value of between 0 and 1,,
Village Coffee,"Business problem: The village chief needs to know whether or not to harvest the coffee to sell, and for how many months should they commit to upkeep the plantation to generate more yield. This is a typical problem where one needs to trade-off cost and benefit
",,
Visual Basic Editor,"If worksheet is changed, then activate program and the changed cell is called Target. If changed cell is not one of the interested cells C5:G5, then exit program. Else, 1. Set all cells in range to have no interior color and font color to blue 2. Call ??Update?? program for all cells. If the cell is empty (=R) and there are 4 valid inputs, 1. Copy the new value from the cell which is one row below equation) 2. Paste the value into the cell 3. Change the cell interior color to light beige and font color to black.
",,
Black-Scholes,"Black Scholes model is an option pricing model developed by Fischer Black and Myron Scholes in 1973. Options are generally defined as a ""contract between two parties in which one party has the right but not the obligation to do something, usually to buy or sell some underlying asset??. Call options are contracts giving the option holder the right to buy something, while put options, conversely entitle the holder to sell something. Payment for call and put options, takes the form of a flat, up-front sum called a premium. 
",,
Charity Donation,"When a formula?refers back to its own cell, either directly or indirectly, it is called a circular reference. Profit before tax = Revenue ?C Cost ?C Charity Profit after tax = Profit before tax ?C tax Charity = % * Profit after tax Therefore, Charity = % * [(Revenue ?C Cost ?C Charity) ?C tax]",,
Text to Columns,By copy and paste. Note that sometimes we may need to convert text to columns. Data > Text to Columns,,
From Web,"By going to website and make selection. 2003: Data > Import External Data > New Web Query 2007: Data > From Web Enter website and click ??Go?? Identify data you want by selecting on the arrows. Click on ??Import?? to directly importing the data into worksheet. Or you can create a query file to allow for future importing, by clicking the ??Save Query?? button (next to the options?? button) 
",,
Query file,"By using query file 2003: Data > Import External Data > Import Data?? 2007: Data > Existing Connections > Browse for More?? Select the query file
",,
Echo Office Supplies,"Objective: To determine the new prices to set for 3 products, each with 6 different prices -> Total = 18 prices to set concurrently
Constraints: New prices must satisfy 3 sets of constraints Projected revenue for big customers must be reduced by at least 9%. Projected revenue for other customers must be reduced by at least 5% Prices for big customers must be reduced by at least 8% Looking at the constraints, it seems that by setting the lowest prices will satisfy all constraints, so where should we stop? Need to compute the revenue and price reductions so as to ensure that they satisfy the constraints Need to construct a decision variable to determine where to stop With 18 different prices to set, there are millions of possible combinations -> How can we do it? SOLVER",,
Objective function,"Each optimization problem needs to fulfill an objective, usually to minimize or maximize an objective function value. You will need to set up a cell to contain the objective function value. In our example, the objective is to minimize the total decrease in total revenue. When activating Solver, we need to identify this cell and select the objective, whether to maximize, minimize or set to a target value
",,
Constraints,"Each constraint is composed of a LHS and RHS, with equality or inequality sign. E.g. LHS <= RHS, LHS >= RHS, LHS = RHS, etc. Usually RHS is of a known value. E.g. I need to plan my purchases such that I will not exceed my budget of $100, so $100 becomes the RHS of my constraint. To enter constraint into Excel Solver, you will need to set up cells to store the LHS and RHS values. Then, when adding constraint, you will identify the LHS and RHS cells, and select the equality or inequality signs. Constraints can also be used to set the type for decision variables, such as real, integer or binary.
",,
Monte Hall,"This is a famous game where there are 3 doors, and a grand prize is hidden behind one of the doors. The contestant is asked to select one door. After which, one of the remaining doors (without the grand prize) will be opened and revealed. The contestant will be asked if he wants to change his choice to the other closed door or retain his original choice.",,
Data Simulation,"M1: Using Frequency Bins Build CRF table and use RAND() function to match CRF to get new X?? Different ways to build CRF table ?C (i) frequency count, and 
    (ii) percentage of occurrence  M2: Using Re-sampling A: Discrete Data  Use SMALL(array, RANDBETWEEN(1,N)) B: Continuous Data Use PERCENTILE(array, RAND())
M3: Using Inverse Distribution A: Discrete distribution (Uniform, Poisson, Binomial) B: Continuous distribution (many, many)",,
XDB Bank,"We are given 50 transactions start and end times for a 3-hour period. We can determine the average customer inter-arrival time and average teller service time. Average customer inter-arrival time = 3 hour/ 50 = mean (over-estimate). Average teller service time = approximated by assuming that the next customer will be served immediately once the previous customer leaves the teller (over-estimate). We will randomly generate / simulate customer inter-arrival times using exponential distribution with mean service time using PERCENTILE() We want to determine the average wait time and system queue length (measures of service performance)
",,
Timer-Clicker,"We construct 3 simple macros and assign to 3 separate buttons to conveniently stamp the arrival time, service start time and service end time. Then we compute the inter-arrival time, wait time and service time. A tool for collecting arrival times of 3 different types of customers by clicking an appropriate button, one for each type of customer. Use the information collected to compute the cumulative number of arrivals within each time bins using Frequency() Change the time bins to the correct date to capture time stamps
",,
ABC Services,"Set alert levels 0: contracts which are expired more than 1 month ago 1: contracts which are expired within the last month 2: contracts which will be expired within the next 3 months 3: contracts which will be expired within the next 3 to 6 months Rules Criteria range must be above data list range There must be at least 1 empty row separating them Both must have at least one matching field headers. All field headers selected in the criteria range implies ??AND?? condition, while selecting more than one row of criteria values imply ??OR?? condition. Empty field criteria values imply Show All
",,
Date Formats,"d Day as 1, 2, ??, 31 m Months as 1, 2, ??,12 dd Day as 01, 02, ??, 31 mm Months as 01, 02, ??, 12 ddd Day of week as Sun, Mon, ??, Sat mmm Months as Jan, Feb, ??, Dec dddd Day of week as Sunday, ??, Saturday mmmm Months as January, ??, December yy Year in 2 digits (e.g. 08) [h] Hours as 0, 1, ??, 23, 24, 25, ??, yyyy Year in 4 digits (e.g. 2008) h Hours as 0, 1, ??, 23   hh Hours as 00, 01, ??, 23   m Minutes as 0, 1, ??, 59   mm Minutes as 00, 01, ??, 59   s Seconds as a 0, 1, ??, 59   ss Seconds as 00, 01, ??, 59   AM/PM am/pm Time as in a 12-hour clock",,
Date,The DATE function returns the sequential serial number that represents a particular date.,,"Syntax: DATE(year,month,day) The DATE function syntax has the following arguments: Year    Required. The value of the year argument can include one to four digits. Excel interprets the year argument according to the date system your computer is using. By default, Microsoft Excel for Windows uses the 1900 date system, which means the first date is January 1, 1900. TIP: Use four digits for the year argument to prevent unwanted results. For example, ""07"" could mean ""1907"" or ""2007."" Four digit years prevent confusion. If year is between 0 (zero) and 1899 (inclusive), Excel adds that value to 1900 to calculate the year. For example, DATE(108,1,2) returns January 2, 2008 (1900+108). If year is between 1900 and 9999 (inclusive), Excel uses that value as the year. For example, DATE(2008,1,2) returns January 2, 2008. If year is less than 0 or is 10000 or greater, Excel returns the #NUM! error value. Month    Required. A positive or negative integer representing the month of the year from 1 to 12 (January to December). If month is greater than 12, month adds that number of months to the first month in the year specified. For example, DATE(2008,14,2) returns the serial number representing February 2, 2009. If month is less than 1, month subtracts the magnitude of that number of months, plus 1, from the first month in the year specified. For example, DATE(2008,-3,2) returns the serial number representing September 2, 2007. Day    Required. A positive or negative integer representing the day of the month from 1 to 31. If day is greater than the number of days in the month specified, day adds that number of days to the first day in the month. For example, DATE(2008,1,35) returns the serial number representing February 4, 2008. If day is less than 1, day subtracts the magnitude that number of days, plus one, from the first day of the month specified. For example, DATE(2008,1,-15) returns the serial number representing December 16, 2007."
Pivot Table,"A PivotTable is an interactive way to quickly summarize large amounts of data. You can use a PivotTable to analyze numerical data in detail, and answer unanticipated questions about your data. A PivotTable is especially designed for: Querying large amounts of data in many user-friendly ways. Subtotaling and aggregating numeric data, summarizing data by categories and subcategories, and creating custom calculations and formulas. Expanding and collapsing levels of data to focus your results, and drilling down to details from the summary data for areas of interest to you. Moving rows to columns or columns to rows (or ""pivoting"") to see different summaries of the source data. Filtering, sorting, grouping, and conditionally formatting the most useful and interesting subset of data enabling you to focus on just the information you want. Presenting concise, attractive, and annotated online or printed reports.",,
Pivot Chart,"PivotCharts provide graphical representations of the data in their associated PivotTables. PivotCharts are also interactive. When you create a PivotChart, the PivotChart Filter Pane appears. You can use this filter pane to sort and filter the PivotChart's underlying data. Changes that you make to the layout and data in an associated PivotTable are immediately reflected in the layout and data in the PivotChart and vice versa. PivotCharts display data series, categories, data markers, and axes just as standard charts do. You can also change the chart type and other options such as the titles, the legend placement, the data labels, the chart location, and so on.",,
Macro,"A macro is a tool that allows you to automate tasks and add functionality to your forms, reports, and controls. For example, if you add a command button to a form, you associate the button's OnClick event to a macro, and the macro contains the commands that you want the button to perform each time it is clicked. In Access, it is helpful to think of macros as a simplified programming language that you write by building a list of actions to perform. When you build a macro, you select each action from a drop-down list and then fill in the required information for each action. Macros enable you to add functionality to forms, reports, and controls without writing code in a Visual Basic for Applications (VBA) module. Macros provide a subset of the commands that are available in VBA, and most people find it easier to build a macro than to write VBA code.",,
Referencing,"By default, a cell reference is relative. For example, when you refer to cell A2 from cell C2, you are actually referring to a cell that is two columns to the left (C minus A), and in the same row (2). A formula that contains a relative cell reference changes as you copy it from one cell to another. As an example, if you copy the formula =A2+B2 from cell C2 to D2, the formula in D2 adjusts to the right by one column and becomes =B2+C2. If you want to maintain the original cell reference in this example when you copy it, you make the cell reference absolute by preceding the columns (A and B) and row (2) with a dollar sign ($). Then, when you copy the formula =$A$2+$B$2 from C2 to D2, the formula stays exactly the same. In less frequent cases, you may want to make a cell reference ""mixed"" by preceding either the column or the row value with a dollar sign to ""lock"" either the column or the row (for example, $A2 or B$3).",,
Relative Referencing,relative column and relative row,,
Mixed Referencing,"relative column and absolute row, absolute column and relative row",,
Absolute Referencing,absolute column and absolute row,,
Retail Gasoline,"The following table shows the price of gasoline in several countries in 1990, 1995, and 2000.  These are average prices, including taxes, of a U.S. gallon of unleaded regular gas in U.S. dollars. a) Add rows at the bottom for average price, maximum price, and minimum price.  Use functions and the Fill operation. b) Use Auto Fill to show the predicted prices for 2005, 2010, 2015 for each country, assuming a linear trend.  Fill the calculation rows out three columns to the right.  Format all cells with two places to the right of the decimal point.",,
Multiplication Table,Multiplication Table,,
Time Value,"Time affects the value of money. If you have to choose between $100 today and the same amount five  years from now, the obvious choice is to take the money now because you can always put the money  in a bank and collect it back with interest in five years time. However, it would be less obvious if the  choice is between $100 now and $125 in five years. This would depend on what return rate you expect  for your money. Another question you can ask is what $100 in five years' time is worth today. There are  more situations and factors to consider. What are they?",,
